Rank,Title,Genre,Studio
8,ONE PIECE,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",Toei Animation
9,ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",A.C.G.T.
10,Easygoing Territory Defense by the Optimistic Lord,"['Adventure', 'Fantasy']",NAZ
11,You and I Are Polar Opposites,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",Lapin Track
12,The Invisible Man and His Soon-to-Be Wife,"['Comedy', 'Romance', 'Supernatural']",project No.9
13,The Holy Grail of Eris,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",Ashi Productions
14,Tamon's B-Side,"['Comedy', 'Romance']",J.C.STAFF
15,MF GHOST Season 3,['Sports'],Felix Film
16,Champignon Witch,"['Drama', 'Fantasy', 'Supernatural']","Qzil.la, TYPHOON GRAPHICS"
17,Fire Force Season 3 Part 2,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",David Production
18,SHIBOYUGI: Playing Death Games to Put Food on the Table,"['Action', 'Drama', 'Mystery', 'Thriller']",Studio DEEN
19,Fate/strange Fake,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",A-1 Pictures
20,Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy']",MADHOUSE
21,Gachiakuta,"['Action', 'Drama', 'Fantasy']",bones film
22,Journal with Witch,"['Drama', 'Slice of Life']",Shuka
23,Frieren: Beyond Journey’s End,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
24,Bleach,"['Action', 'Adventure', 'Supernatural']",Studio Pierrot
25,An Adventurer’s Daily Grind at Age 29,"['Adventure', 'Fantasy', 'Slice of Life']",HORNETS
26,My Hero Academia: Vigilantes Season 2,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones film
27,"There was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her","['Adventure', 'Comedy', 'Fantasy', 'Romance']",Gekkou
28,Attack on Titan,"['Action', 'Drama', 'Fantasy', 'Mystery']",WIT STUDIO
29,JUJUTSU KAISEN,"['Action', 'Drama', 'Supernatural']",MAPPA
30,Fullmetal Alchemist: Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy']",bones
31,Monster,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']",MADHOUSE
32,BEASTARS Final Season Part 2,"['Drama', 'Mystery', 'Psychological', 'Slice of Life']",Orange
33,Death Note,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",MADHOUSE
34,Black Clover,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Studio Pierrot
35,HELL MODE: The Hardcore Gamer Dominates in Another World with Garbage Balancing,"['Action', 'Adventure', 'Fantasy']",Yokohama Animation Lab
36,The Fragrant Flower Blooms With Dignity,"['Comedy', 'Drama', 'Romance']",CloverWorks
37,JUJUTSU KAISEN Season 2,"['Action', 'Drama', 'Supernatural']",MAPPA
38,You Can't Be In a Rom-Com with Your Childhood Friends!,"['Comedy', 'Romance']",Tezuka Productions
39,Tune In to the Midnight Heart,"['Comedy', 'Romance']",Gekkou
40,A Silent Voice,"['Drama', 'Romance', 'Slice of Life']",Kyoto Animation
41,Code Geass: Lelouch of the Rebellion,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Thriller']",Sunrise
42,Neon Genesis Evangelion,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']","Gainax, Tatsunoko Production"
43,BAKI-DOU: The Invincible Samurai,"['Action', 'Sports']",TMS Entertainment
44,Chainsaw Man – The Movie: Reze Arc,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']",MAPPA
45,Demon Slayer: Kimetsu no Yaiba,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",ufotable
46,Tokyo Ghoul,"['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Supernatural']",Studio Pierrot
47,Naruto,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Studio Pierrot
48,Golden Kamuy Final Season,"['Action', 'Adventure', 'Comedy']",Brain's Base
49,Attack on Titan Season 3,"['Action', 'Drama', 'Fantasy', 'Mystery']",WIT STUDIO
50,Naruto: Shippuden,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",Studio Pierrot
Rank,Title,Genre,Studio
1,Frieren: Beyond Journey’s End Season 2,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
2,JUJUTSU KAISEN Season 3: The Culling Game Part 1,"['Action', 'Drama', 'Supernatural']",MAPPA
3,Fire Force Season 3 Part 2,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",David Production
4,HELL MODE: The Hardcore Gamer Dominates in Another World with Garbage Balancing,"['Action', 'Adventure', 'Fantasy']",Yokohama Animation Lab
5,Sentenced to Be a Hero,"['Action', 'Comedy', 'Drama', 'Fantasy']",Studio KAI
6,ONE PIECE,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",Toei Animation
7,【OSHI NO KO】Season 3,"['Drama', 'Mystery', 'Psychological', 'Supernatural']",Doga Kobo
8,"Jack-of-All-Trades, Party of None","['Action', 'Adventure', 'Fantasy']",animation studio42
